"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Usuario-Controller","PUT/candidato","","0","0","5","0","0"
"Candidato-Controller","POST/candidato","","0","0","7","0","0"
"Usuario-Controller","GET/usuario/email","","0","0","2","0","0"
"Usuario-Controller","PUT/usuario","","0","0","3","0","0"
"Contrato entrevista","","","0","0","3","0","0"
"Usuario-Controller","POST/usuario","","0","0","6","0","0"
"Contrato usuario","","","0","0","6","0","0"
"Usuario-Controller","GET/usuario/recuperar-imagem","","0","0","1","0","0"
"Usuario-Controller","DELETE/usuario/{idUsuario}","","0","0","4","0","0"
"Usuario-Controller","GET/usuario","","0","0","1","0","0"
"Contrato candidato","","","0","0","4","0","0"
"Candidato-Controller","DELETE/candidato/{idCandidato}","","0","0","1","0","0"
"Candidato-Controller","GET/candidato/listar-candidato-principal-por-nome-ou-por-trilha","","0","0","1","0","0"
"Entrevista-Controller","PUT/entrevista","","0","0","2","0","0"
"Candidato-Controller","GET/candidato/findbyemails","","0","0","1","0","0"
"Entrevista-Controller","DELETE/entrevista","","0","0","2","0","0"
"Entrevista-Controller","POST/entrevista","","0","0","5","0","0"
"Usuario-Controller","GET/usuario/findbynomecompleto","","0","0","2","0","0"
"Candidato-Controller","GET/candidato","","0","0","1","0","0"
"Usuario-Controller","DELETE/usuario/delete-fisico/{idUsuario}","","0","0","2","0","0"
"Usuario-Controller","DELETE/candidato/{idCandidato}","","0","0","1","0","0"
"Usuario-Controller","GET/candidato/findbyemails","","0","0","1","0","0"
"Usuario-Controller","GET/usuario/id","","0","0","2","0","0"
"Usuario-Controller","GET/usuario/logado","","0","0","1","0","0"
"Entrevista-Controller","GET/entrevista","","0","0","1","0","0"
