"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 04 04:08:04 BRT 2022","Sun Dec 04 04:08:06 BRT 2022","1933","","Candidato-Controller","","","","PUT - Tentar atualizar candidato com email invalido",""
"passed","Sun Dec 04 04:07:55 BRT 2022","Sun Dec 04 04:07:56 BRT 2022","856","","Candidato-Controller","","","","POST - Tentar criar candidato com email invalido",""
"passed","Sun Dec 04 04:08:55 BRT 2022","Sun Dec 04 04:08:56 BRT 2022","858","","Usuario-Controller","","","","GET - Listar usuario por email",""
"passed","Sun Dec 04 04:09:09 BRT 2022","Sun Dec 04 04:09:11 BRT 2022","1233","","Usuario-Controller","","","","PUT - Tentar atualizar usuario passando trilha errada",""
"passed","Sun Dec 04 04:09:34 BRT 2022","Sun Dec 04 04:09:36 BRT 2022","1950","","Contrato GET/entrevista","","","","Contrato - Validar contrato get entrevista por mes/ano",""
"passed","Sun Dec 04 04:09:05 BRT 2022","Sun Dec 04 04:09:06 BRT 2022","1509","","Usuario-Controller","","","","POST - Tentar criar usuario logando com role de gestao",""
"passed","Sun Dec 04 04:09:22 BRT 2022","Sun Dec 04 04:09:22 BRT 2022","472","","Contrato GET/usuario","","","","Contrato - Validar contrato get usuario",""
"passed","Sun Dec 04 04:09:23 BRT 2022","Sun Dec 04 04:09:26 BRT 2022","2908","","Contrato GET/usuario","","","","Contrato - Validar contrato get usuario idUsuario",""
"passed","Sun Dec 04 04:08:56 BRT 2022","Sun Dec 04 04:08:56 BRT 2022","402","","Usuario-Controller","","","","GET - Recuperar imagem de usuario",""
"passed","Sun Dec 04 04:09:29 BRT 2022","Sun Dec 04 04:09:34 BRT 2022","5167","","Contrato GET/entrevista","","","","Contrato - Validar contrato get entrevista",""
"passed","Sun Dec 04 04:09:16 BRT 2022","Sun Dec 04 04:09:16 BRT 2022","268","","Usuario-Controller","","","","DELETE - Tentar tornar usuario inexistente inativo",""
